trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.994}",25,0,-94.44564077504194,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.988036}",20,0,-64.21644826609675,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.982107784}",25,0,-135.3944208051639,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.976215137296}",20,0,-102.98896880758409,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.970357846472224}",25,0,-106.56452791472965,"{0: 14, 1: 3, 2: 5, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9645356993933907}",25,0,-39.322856322742716,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9587484851970303}",20,0,-146.5293600698457,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9529959942858481}",25,0,-251.42921915028677,"{0: 12, 1: 2, 2: 5, 3: 2, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.947278018320133}",20,0,-146.84654280824768,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9415943502102122}",25,0,-76.90731747524481,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9359447841089509}",25,0,-182.5999156444686,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9303291154042972}",30,6,-140.77504268470986,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.9247471407118714}",20,0,-208.89743995860795,"{0: 9, 1: 5, 2: 1, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.9191986578676001}",25,0,-144.54352499709495,"{0: 12, 1: 7, 2: 2, 3: 3, 4: 1}",0
