trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-69.98406022731768,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.98}",25,0,-129.8526088929051,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.97}",25,0,-133.9138412082724,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96}",30,0,-112.32823472744252,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.95}",20,0,-135.001793577854,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.94}",35,0,-91.85014558994018,"{0: 26, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,0,-116.72212764168508,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",30,7,-55.393606308657034,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-146.8249337386871,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-140.98740115812765,"{0: 17, 1: 8, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-164.66231364834334,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-83.24842525139881,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-136.2502318761376,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,11,-27.04184801086915,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-93.23206633600799,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",30,0,-218.8262005276917,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",30,0,-166.98256232460855,"{0: 17, 1: 7, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,0,-92.82401142687557,"{0: 15, 1: 0, 2: 9, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,0,-131.65186233681177,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-159.09804494843644,"{0: 18, 1: 1, 2: 9, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-118.36348607621194,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",35,0,-240.58255259438545,"{0: 19, 1: 6, 2: 5, 3: 1, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",25,0,-114.89809897018434,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-112.63962947222271,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",30,0,-79.12731114338867,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-81.58899089088472,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,9,-78.21685003125725,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,-142.3752769930288,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-50.26879947414203,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,-155.46299819662366,"{0: 15, 1: 5, 2: 7, 3: 2, 4: 1}",0
